iter	Passed	Remaining
405	14332	20969
406	14365	20931
407	14397	20890
408	14434	20857
409	14472	20826
410	14504	20786
411	14540	20752
412	14576	20717
413	14608	20678
414	14638	20635
415	14672	20598
416	14710	20566
417	14745	20530
418	14783	20498
419	14818	20464
420	14851	20424
421	14883	20385
422	14917	20347
423	14954	20315
424	14998	20291
425	15031	20254
426	15071	20225
427	15110	20194
428	15142	20155
429	15187	20132
430	15221	20095
431	15259	20063
432	15295	20028
433	15331	19994
434	15367	19959
435	15397	19918
436	15433	19882
437	15467	19846
438	15502	19810
439	15539	19777
440	15578	19746
441	15614	19711
442	15647	19673
443	15681	19636
444	15712	19596
445	15748	19561
446	15779	19521
447	15815	19487
448	15852	19453
449	15889	19420
450	15924	19384
451	15957	19346
452	15992	19311
453	16026	19273
454	16054	19229
455	16095	19201
456	16130	19166
457	16164	19128
458	16198	19091
459	16231	19054
460	16265	19018
461	16302	18984
462	16334	18944
463	16373	18914
464	16406	18875
465	16435	18834
466	16467	18794
467	16502	18759
468	16531	18716
469	16564	18679
470	16598	18642
471	16630	18603
472	16665	18568
473	16697	18529
474	16730	18492
475	16765	18456
476	16801	18422
477	16836	18386
478	16870	18349
479	16905	18314
480	16947	18285
481	16980	18248
482	17013	18211
483	17047	18175
484	17086	18143
485	17120	18106
486	17156	18072
487	17190	18035
488	17225	18000
489	17260	17964
490	17294	17928
491	17327	17891
492	17366	17859
493	17401	17824
494	17433	17786
495	17465	17746
496	17499	17710
497	17536	17677
498	17570	17640
499	17603	17603
500	17643	17573
501	17674	17533
502	17708	17497
503	17741	17460
504	17778	17426
505	17813	17391
506	17851	17358
507	17891	17327
508	17929	17295
509	17964	17259
510	17999	17224
511	18036	17191
512	18072	17156
513	18104	17118
514	18137	17081
515	18172	17045
516	18206	17009
517	18239	16971
518	18273	16935
519	18308	16900
520	18343	16864
521	18376	16827
522	18409	16790
523	18442	16753
524	18476	16716
525	18509	16679
526	18542	16642
527	18579	16609
528	18614	16573
529	18646	16535
530	18684	16502
531	18716	16465
532	18749	16427
533	18782	16390
534	18819	16357
535	18854	16321
536	18884	16282
537	18915	16243
538	18955	16212
539	18994	16180
540	19031	16146
541	19071	16115
542	19105	16079
543	19138	16042
544	19179	16012
545	19215	15977
546	19252	15943
547	19286	15907
548	19322	15873
549	19353	15834
550	19385	15797
551	19421	15762
552	19452	15723
553	19486	15687
554	19518	15650
555	19552	15613
556	19584	15576
557	19622	15543
558	19654	15505
559	19684	15466
560	19716	15428
561	19751	15393
562	19784	15356
563	19815	15318
564	19844	15278
565	19879	15243
566	19914	15208
567	19948	15172
568	19982	15135
569	20016	15100
570	20046	15061
571	20079	15024
572	20106	14983
573	20139	14946
574	20175	14912
575	20209	14876
576	20248	14844
577	20282	14808
578	20337	14787
579	20371	14751
580	20410	14719
581	20441	14681
582	20471	14642
583	20504	14606
584	20537	14569
585	20573	14535
586	20608	14500
587	20643	14464
588	20676	14427
589	20713	14394
590	20749	14359
591	20782	14323
592	20814	14286
593	20847	14249
594	20874	14208
595	20908	14172
596	20943	14137
597	20975	14100
598	21006	14062
599	21038	14025
600	21076	13992
601	21109	13956
602	21145	13921
603	21187	13890
604	21219	13854
605	21251	13817
606	21286	13782
607	21319	13745
608	21352	13709
609	21388	13674
610	21425	13640
611	21458	13604
612	21494	13570
613	21527	13533
614	21557	13495
615	21591	13459
616	21625	13423
617	21659	13388
618	21696	13354
619	21729	13317
620	21769	13285
621	21804	13250
622	21836	13214
623	21872	13179
624	21915	13149
625	21952	13115
626	21985	13078
627	22018	13042
628	22052	13007
629	22097	12977
630	22129	12941
631	22163	12905
632	22195	12868
633	22228	12832
634	22259	12794
635	22291	12757
636	22324	12721
637	22360	12687
638	22389	12649
639	22419	12611
640	22453	12575
641	22479	12535
642	22512	12499
643	22555	12468
644	22593	12435
645	22631	12401
646	22667	12367
647	22703	12332
648	22735	12296
649	22775	12263
650	22824	12236
651	22856	12199
652	22889	12163
653	22924	12128
654	22959	12092
655	22990	12056
656	23025	12021
657	23058	11984
658	23096	11951
659	23130	11915
660	23159	11877
661	23193	11842
662	23222	11803
663	23256	11768
664	23291	11733
665	23325	11697
666	23354	11659
667	23386	11623
668	23423	11589
669	23461	11555
670	23494	11519
671	23527	11483
672	23559	11447
673	23592	11411
674	23625	11375
675	23668	11344
676	23702	11308
677	23736	11273
678	23773	11238
679	23806	11203
680	23839	11166
681	23873	11131
682	23910	11097
683	23948	11063
684	23985	11029
685	24019	10994
686	24051	10958
687	24088	10923
688	24122	10888
689	24153	10851
690	24186	10815
691	24218	10779
692	24258	10746
693	24290	10710
694	24325	10675
695	24362	10640
696	24401	10607
697	24430	10570
698	24466	10535
699	24500	10500
700	24534	10464
701	24567	10428
702	24597	10391
703	24631	10356
704	24669	10322
705	24707	10288
706	24744	10254
707	24772	10217
708	24808	10182
709	24844	10147
710	24877	10111
711	24909	10075
712	24940	10039
713	24971	10002
714	25007	9967
715	25039	9931
716	25069	9895
717	25105	9860
718	25137	9824
719	25179	9791
720	25214	9756
721	25279	9733
722	25318	9700
723	25352	9664
724	25391	9631
725	25430	9597
726	25463	9561
727	25496	9526
728	25528	9490
729	25560	9453
730	25597	9419
731	25634	9385
732	25668	9349
733	25705	9315
734	25741	9281
735	25778	9246
736	25816	9212
737	25850	9177
738	25890	9144
739	25923	9108
740	25957	9072
741	25994	9038
742	26029	9003
743	26061	8967
744	26101	8933
745	26131	8897
746	26166	8862
747	26204	8828
748	26240	8793
749	26274	8758
750	26309	8723
751	26343	8687
752	26380	8653
753	26413	8617
754	26444	8581
755	26475	8544
756	26511	8510
757	26544	8474
758	26581	8440
759	26615	8404
760	26649	8369
761	26685	8334
762	26716	8298
763	26750	8263
764	26779	8226
765	26809	8189
766	26841	8154
767	26875	8118
768	26906	8082
769	26944	8048
770	26977	8012
771	27010	7977
772	27040	7940
773	27076	7905
774	27111	7871
775	27145	7835
776	27177	7799
777	27207	7763
778	27244	7729
779	27278	7693
780	27315	7659
781	27348	7624
782	27386	7589
783	27419	7554
784	27454	7519
785	27493	7485
786	27526	7449
787	27561	7415
788	27602	7381
789	27637	7346
790	27673	7311
791	27711	7277
792	27746	7242
793	27788	7209
794	27823	7174
795	27857	7139
796	27887	7103
797	27919	7067
798	27953	7032
799	27991	6997
800	28028	6963
801	28066	6929
802	28103	6894
803	28139	6859
804	28171	6824
805	28206	6789
806	28240	6754
807	28282	6720
808	28318	6685
809	28348	6649
810	28379	6613
811	28416	6579
812	28459	6546
813	28496	6511
814	28534	6477
815	28572	6442
816	28607	6407
817	28638	6371
818	28673	6336
819	28704	6300
820	28736	6265
821	28770	6230
822	28805	6195
823	28838	6159
824	28871	6124
825	28915	6091
826	28948	6055
827	28982	6020
828	29014	5984
829	29046	5949
830	29080	5914
831	29114	5878
832	29157	5845
833	29190	5810
834	29233	5776
835	29275	5743
836	29315	5708
837	29347	5673
838	29388	5639
839	29423	5604
840	29454	5568
841	29490	5533
842	29547	5502
843	29580	5467
844	29613	5432
845	29669	5400
846	29703	5365
847	29737	5330
848	29769	5294
849	29807	5260
850	29838	5224
851	29867	5188
852	29900	5152
853	29940	5118
854	29977	5083
855	30007	5047
856	30039	5012
857	30072	4977
858	30111	4942
859	30145	4907
860	30179	4872
861	30211	4836
862	30244	4801
863	30280	4766
864	30316	4731
865	30352	4696
866	30385	4661
867	30421	4626
868	30459	4591
869	30494	4556
870	30537	4522
871	30570	4487
872	30609	4452
873	30643	4417
874	30683	4383
875	30717	4348
876	30750	4312
877	30783	4277
878	30816	4242
879	30845	4206
880	30876	4170
881	30911	4135
882	30943	4100
883	30983	4065
884	31022	4031
885	31059	3996
886	31092	3961
887	31126	3925
888	31156	3890
889	31194	3855
890	31227	3820
891	31258	3784
892	31294	3749
893	31332	3714
894	31363	3679
895	31397	3644
896	31431	3609
897	31464	3573
898	31496	3538
899	31531	3503
900	31566	3468
901	31601	3433
902	31631	3397
903	31665	3362
904	31698	3327
905	31731	3292
906	31763	3256
907	31798	3221
908	31831	3186
909	31862	3151
910	31901	3116
911	31939	3081
912	31976	3047
913	32012	3012
914	32049	2977
915	32080	2941
916	32117	2907
917	32149	2871
918	32184	2836
919	32223	2802
920	32260	2767
921	32306	2733
922	32345	2698
923	32387	2663
924	32434	2629
925	32475	2595
926	32512	2560
927	32556	2525
