iter	MultiClass
0	2.710610151
1	2.61728238922	2.53971321
3	2.492927137
4	2.407320108
5	2.335951527
6	2.28069069777	2.21472352688	2.17761801299	2.135025319110	2.161160073111	2.097890712112	2.061468421113	2.01636933114	1.985348586115	1.954315634116	1.912010538117	1.88243979
18	1.846538568
19	1.818536805
20	1.784479175
21	1.747807813
22	1.720672701
23	1.698420342
24	1.672825178
25	1.648473127
26	1.63027321
27	1.604126654
28	1.585538152
29	1.565755762
30	1.542493681
31	1.520658131
32	1.493136912
33	1.471439943
34	1.449522505
35	1.424847554
36	1.398059973337	1.377950395338	1.350868264339	1.327154665440	1.293691879441	1.276886635442	1.263822138443	1.245448422444	1.225897025445	1.206050805446	1.187496282447	1.171482791448	1.153444349	49	1.13112365050	1.120687275151	1.11071222552	1.096588001553	1.079440345454	1.072104477
55	1.060640455656	1.048302432
57	1.034883562
58	1.025704345
59	1.019086712
60	1.005013297
61	0.9930721068
62	0.982124664
63	0.9677072649
64	0.9604628534
65	0.9515431688
66	0.9434327428
67	0.9361229632
68	0.9215240997
69	0.9084493259
70	0.8950610066
71	0.885052774
72	0.8764559798
73	0.8687435016
74	0.855010342
75	0.8410031162
76	0.8338616708
77	0.8241735104
78	0.8154499747
79	0.8090021997
80	0.8028330152
81	0.7930442941
82	0.7858635892
83	0.7795715671
84	0.7746447473
85	0.7677062693
86	0.7586680572
87	0.7527427437
88	0.7450346467
89	0.7371293205
90	0.7227308596
91	0.7152055939
92	0.7053054302
93	0.6930024263
94	0.6844952031
95	0.6745056194
96	0.665451267
97	0.6555820608
98	0.642794897
99	0.6321889482
100	0.6267156465
101	0.6175206086
102	0.6081198292
103	0.6026494886
104	0.5925772526
105	0.5870953787
106	0.5779192556
107	0.5710104685
108	0.5652069643
109	0.5592281725
110	0.5536214156
111	0.5479774351
112	0.5433489214
113	0.5351257389
114	0.5298784532
115	0.5263421382
116	0.5190951937
117	0.5127226425
118	0.506821727
119	0.5012859038
120	0.4953768018
121	0.4895260664
122	0.485319313
123	0.4814245865
124	0.4788967918
125	0.4759498784
126	0.4709549559
127	0.4670614435
128	0.4617445875
129	0.4583329472
130	0.4553915094
131	0.4520597419
132	0.4488009562
133	0.4433136308
134	0.4376754326
135	0.4309771533
136	0.4259197827
137	0.4227022988
138	0.4200461527
139	0.4171909198
140	0.4144907363
141	0.4111610618
142	0.4053620259
143	0.4027632429
144	0.4000269598
145	0.3950015421
146	0.3898579584
147	0.3856524361
148	0.3825599704
149	0.38044375
150	0.3782432004
151	0.3751850169
152	0.3714815572
153	0.3679827546
154	0.3662723137
155	0.3643079503
156	0.362148052
157	0.3595331173
158	0.3557235338
159	0.3519325738
160	0.3491692767
161	0.3447884244
162	0.3420258487
163	0.3401071615
164	0.3372260428
165	0.3350960802
166	0.3334485201
167	0.3314546248
168	0.3293584572
169	0.3246776837
170	0.3226611133
171	0.3193229378
172	0.317215363
173	0.3150676967
174	0.3111323664
175	0.309236025
176	0.3070721698
177	0.3040967722
178	0.3019053286
179	0.2985425916
180	0.2947357406
181	0.2913261235
182	0.2898354531
183	0.2880853613
184	0.2864474765
185	0.2834367881
186	0.2809827001
187	0.278888261
188	0.2767617498
189	0.2750007585
190	0.2737923619
191	0.2729987769
192	0.2713313619
193	0.2697358601
194	0.2679156794
195	0.2665767186
196	0.2657942137
197	0.2634701064
198	0.2626824163
199	0.2613719431
200	0.2592457146
201	0.2552898538
202	0.2535385921
203	0.2521598924
204	0.2497509864
205	0.2487968002
206	0.2470008341
207	0.243852173
208	0.242443359
209	0.2408588444
210	0.2378409944
211	0.2361115415
212	0.2331398352
213	0.2319234031
214	0.2308049941
215	0.2299205391
216	0.2286341256
217	0.2270237254
218	0.2258573766
219	0.2240034586
220	0.2230431509
221	0.2212306516
222	0.2204314178
223	0.218221533
224	0.2168478057
225	0.2150497555
226	0.2139333292
227	0.2125904249
228	0.2114317205
229	0.2099812719
230	0.207881873
231	0.2064659746
232	0.2057520072
233	0.2051243546
234	0.2032819949
235	0.2021905811
236	0.2013270567
237	0.2003670834
238	0.1997783997
239	0.198968242
240	0.1975444686
241	0.1967910925
242	0.1955509998
243	0.1946660071
244	0.1936343381
245	0.1930776789
246	0.1925694895
247	0.1902889828
248	0.1883626621
249	0.1869965947
250	0.1855498089
251	0.1850425308
252	0.1845245576
253	0.1834478491
254	0.181576115
